iter	Passed	Remaining
242	246	1780
243	247	1778
244	247	1775
245	248	1771
246	249	1768
247	250	1766
248	250	1763
249	251	1760
250	252	1758
251	253	1755
252	253	1752
253	254	1750
254	255	1747
255	256	1748
256	257	1747
257	258	1746
258	259	1743
259	260	1741
260	260	1738
261	261	1736
262	262	1735
263	263	1734
264	264	1732
265	265	1731
266	266	1730
267	267	1729
268	268	1727
269	269	1724
270	270	1722
271	271	1721
272	271	1719
273	272	1717
274	273	1714
275	273	1711
276	274	1709
277	275	1707
278	276	1705
279	277	1702
280	278	1700
281	278	1697
282	279	1695
283	280	1693
284	280	1690
285	281	1689
286	282	1685
287	283	1682
288	283	1680
289	284	1678
290	285	1675
291	286	1673
292	286	1670
293	287	1668
294	288	1665
295	288	1662
296	289	1660
297	290	1657
298	290	1654
299	291	1651
300	292	1649
301	293	1648
302	293	1646
303	294	1644
304	295	1641
305	296	1639
306	297	1638
307	297	1636
308	298	1635
309	299	1632
310	300	1631
311	301	1628
312	301	1627
313	302	1625
314	303	1625
315	304	1622
316	305	1621
317	305	1617
318	306	1614
319	307	1613
320	307	1610
321	308	1608
322	309	1606
323	310	1605
324	311	1603
325	311	1601
326	312	1598
327	313	1595
328	313	1593
329	314	1592
330	315	1589
331	315	1587
332	316	1586
333	317	1583
334	318	1581
335	319	1580
336	319	1578
337	320	1576
338	321	1574
339	322	1572
340	322	1570
341	323	1569
342	324	1567
343	325	1565
344	325	1563
345	326	1562
346	327	1560
347	328	1558
348	329	1557
349	330	1555
350	330	1553
351	331	1551
352	331	1548
353	332	1548
354	333	1546
355	334	1544
356	335	1543
357	335	1541
358	337	1540
359	337	1539
360	338	1537
361	339	1537
362	340	1534
363	340	1532
364	341	1531
365	342	1530
366	343	1527
367	343	1525
368	344	1523
369	345	1521
370	346	1519
371	346	1517
372	347	1516
373	348	1514
374	349	1512
375	349	1510
376	350	1508
377	351	1507
378	351	1504
379	352	1503
380	353	1501
381	353	1499
382	354	1496
383	355	1494
384	355	1492
385	356	1490
386	357	1489
387	358	1488
388	359	1487
389	359	1485
390	360	1483
391	361	1482
392	362	1480
393	362	1478
394	363	1476
395	363	1473
396	364	1472
397	365	1470
398	366	1468
399	366	1466
400	367	1465
401	368	1464
402	369	1463
403	370	1461
404	370	1459
405	371	1458
406	372	1457
407	373	1455
408	373	1453
409	374	1451
410	375	1449
411	375	1448
412	376	1446
413	377	1445
414	377	1443
415	378	1441
416	379	1440
417	380	1438
418	380	1436
419	381	1436
420	382	1435
421	383	1435
422	384	1434
423	385	1432
424	386	1431
425	387	1430
426	388	1429
427	388	1427
428	389	1425
429	390	1424
430	390	1422
431	391	1421
432	392	1418
433	392	1416
434	393	1414
435	393	1412
436	394	1411
437	395	1409
438	395	1407
439	396	1405
440	396	1403
441	397	1401
442	398	1400
443	399	1399
444	400	1398
445	401	1397
446	401	1396
447	402	1394
448	403	1393
449	403	1391
450	404	1390
451	405	1388
452	406	1387
453	407	1386
454	408	1386
