Цех,Артикул продукции,Продукция,Дата,Артикул материала,Материал
544,330012233454,1446,2023-01-14,12300208,4.0
511,330012233416,1679,2023-01-14,12300209,29.2
511,330012233550,889,2023-01-14,12300209,29.2
533,330012233507,1336,2023-01-14,12300120,79.0
511,330012233509,444,2023-01-14,12300209,29.2
544,330012233790,784,2023-01-14,12300208,4.0
533,330012233414,195,2023-01-14,12300120,79.0
544,330012233455,647,2023-01-14,12300208,4.0
544,330012233677,1620,2023-01-14,12300208,4.0
511,330012233642,208,2023-01-14,12300209,29.2
533,330012233808,1906,2023-01-14,12300120,79.0
544,330012233721,270,2023-01-14,12300208,4.0
544,330012233613,437,2023-01-14,12300208,4.0
544,330012233593,312,2023-01-14,12300208,4.0
533,330012233659,90,2023-01-14,12300120,79.0
544,330012233696,422,2023-01-14,12300208,4.0
533,330012233529,274,2023-01-14,12300120,79.0
511,330012233655,559,2023-01-14,12300209,29.2
544,330012233464,262,2023-01-14,12300208,4.0
522,330012233556,1659,2023-01-18,12300248,2.5
533,330012233423,2147,2023-01-18,12300264,189.0
533,330012233593,376,2023-01-18,12300114,36.0
533,330012233593,376,2023-01-18,12300264,189.0
522,330012233556,1659,2023-01-18,12300186,5.0
522,330012233600,838,2023-01-18,12300186,5.0
533,330012233582,1208,2023-01-18,12300114,36.0
522,330012233496,522,2023-01-18,12300186,5.0
522,330012233496,522,2023-01-18,12300248,2.5
533,330012233487,1162,2023-01-18,12300114,36.0
533,330012233487,1162,2023-01-18,12300264,189.0
533,330012233582,1208,2023-01-18,12300264,189.0
533,330012233423,2147,2023-01-18,12300114,36.0
522,330012233600,838,2023-01-18,12300248,2.5
533,330012233429,387,2023-01-18,12300264,189.0
522,330012233557,2099,2023-01-18,12300186,5.0
533,330012233445,1601,2023-01-18,12300264,189.0
533,330012233583,498,2023-01-18,12300264,189.0
522,330012233454,445,2023-01-18,12300186,5.0
522,330012233454,445,2023-01-18,12300248,2.5
533,330012233450,738,2023-01-18,12300114,36.0
533,330012233450,738,2023-01-18,12300264,189.0
533,330012233583,498,2023-01-18,12300114,36.0
522,330012233557,2099,2023-01-18,12300248,2.5
533,330012233429,387,2023-01-18,12300114,36.0
533,330012233600,1128,2023-01-18,12300264,189.0
522,330012233432,2067,2023-01-18,12300186,5.0
522,330012233432,2067,2023-01-18,12300248,2.5
533,330012233601,199,2023-01-18,12300114,36.0
533,330012233601,199,2023-01-18,12300264,189.0
533,330012233445,1601,2023-01-18,12300114,36.0
533,330012233600,1128,2023-01-18,12300114,36.0
533,330012233461,892,2023-01-19,1230025,6.0
533,330012233442,341,2023-01-19,1230025,6.0
533,330012233531,1063,2023-01-19,1230025,6.0
533,330012233430,2137,2023-01-19,1230025,6.0
533,330012233558,398,2023-01-19,1230025,6.0
533,330012233526,2001,2023-01-19,1230025,6.0
533,330012233457,221,2023-01-19,1230025,6.0
533,330012233447,794,2023-01-21,12300195,24.8
533,330012233434,1998,2023-01-21,12300195,24.8
533,330012233434,1998,2023-01-21,1230013,24.0
544,330012233462,992,2023-01-21,12300272,78.4
544,330012233446,1662,2023-01-21,12300272,78.4
544,330012233470,338,2023-01-21,12300272,78.4
522,330012233451,177,2023-01-21,12300272,100.0
544,330012233420,1226,2023-01-21,12300272,78.4
533,330012233447,794,2023-01-21,12300198,19.0
533,330012233447,794,2023-01-21,1230013,24.0
533,330012233440,1726,2023-01-21,12300195,24.8
533,330012233431,2070,2023-01-21,12300198,19.0
533,330012233431,2070,2023-01-21,12300195,24.8
533,330012233431,2070,2023-01-21,1230013,24.0
522,330012233448,1112,2023-01-21,12300272,100.0
533,330012233440,1726,2023-01-21,12300198,19.0
533,330012233440,1726,2023-01-21,1230013,24.0
544,330012233413,783,2023-01-21,12300272,78.4
522,330012233430,859,2023-01-21,12300272,100.0
522,330012233413,153,2023-01-21,12300272,100.0
522,330012233430,338,2023-01-21,12300272,100.0
544,330012233444,1867,2023-01-21,12300272,78.4
533,330012233434,1998,2023-01-21,12300198,19.0
522,330012233470,758,2023-01-21,12300272,100.0
522,330012233469,2132,2023-01-21,12300272,100.0
533,330012233447,331,2023-01-21,12300198,19.0
533,330012233447,331,2023-01-21,12300195,24.8
533,330012233447,331,2023-01-21,1230013,24.0
522,330012233480,282,2023-01-21,12300272,100.0
533,330012233451,1300,2023-01-21,12300198,19.0
533,330012233451,1300,2023-01-21,1230013,24.0
533,330012233489,535,2023-01-21,12300198,19.0
533,330012233489,535,2023-01-21,12300195,24.8
533,330012233489,535,2023-01-21,1230013,24.0
533,330012233451,1300,2023-01-21,12300195,24.8
533,330012233484,2324,2023-01-21,12300195,24.8
533,330012233484,2324,2023-01-21,1230013,24.0
522,330012233431,461,2023-01-21,12300272,100.0
544,330012233423,406,2023-01-21,12300272,78.4
544,330012233489,147,2023-01-21,12300272,78.4
533,330012233423,751,2023-01-21,12300198,19.0
533,330012233423,751,2023-01-21,12300195,24.8
533,330012233423,751,2023-01-21,1230013,24.0
544,330012233419,224,2023-01-21,12300272,78.4
533,330012233484,2324,2023-01-21,12300198,19.0
544,330012233423,218,2023-01-21,12300272,78.4
522,330012233419,2016,2023-01-22,12300149,27.5
522,330012233423,227,2023-01-22,12300184,77.33333333333333
522,330012233423,227,2023-01-22,12300149,27.5
522,330012233415,1019,2023-01-22,12300184,77.33333333333333
511,330012233570,562,2023-01-22,12300214,132.0
511,330012233415,260,2023-01-22,12300214,132.0
522,330012233413,117,2023-01-22,12300184,77.33333333333333
522,330012233413,117,2023-01-22,12300149,27.5
522,330012233419,2016,2023-01-22,12300184,77.33333333333333
522,330012233415,1019,2023-01-22,12300149,27.5
522,330012233419,1276,2023-01-22,12300149,27.5
522,330012233436,115,2023-01-22,12300184,77.33333333333333
511,330012233419,1351,2023-01-22,12300214,132.0
511,330012233413,296,2023-01-22,12300214,132.0
511,330012233426,607,2023-01-22,12300214,132.0
511,330012233429,2721,2023-01-22,12300214,132.0
511,330012233435,830,2023-01-22,12300214,132.0
511,330012233414,349,2023-01-22,12300214,132.0
511,330012233430,315,2023-01-22,12300214,132.0
522,330012233436,115,2023-01-22,12300149,27.5
522,330012233429,139,2023-01-22,12300149,27.5
522,330012233429,139,2023-01-22,12300184,77.33333333333333
522,330012233419,1276,2023-01-22,12300184,77.33333333333333
544,330012234004,453,2023-01-24,12300192,320.0
544,330012233573,95,2023-01-24,12300192,320.0
544,330012233694,801,2023-01-24,12300192,320.0
544,330012233731,904,2023-01-24,12300192,320.0
544,330012233716,2423,2023-01-24,12300192,320.0
544,330012233736,197,2023-01-24,12300192,320.0
544,330012233844,578,2023-01-24,12300192,320.0
544,330012233544,509,2023-01-24,12300192,320.0
544,330012233635,624,2023-01-24,12300192,320.0
544,330012233815,1986,2023-01-24,12300192,320.0
555,330012233682,130,2023-01-25,1230060,38.4
555,330012233581,251,2023-01-25,1230060,38.4
555,330012233528,452,2023-01-25,1230060,38.4
555,330012233959,58,2023-01-25,1230060,38.4
555,330012233828,1154,2023-01-25,1230060,38.4
555,330012233935,342,2023-01-25,1230060,38.4
555,330012233420,1454,2023-01-25,1230060,38.4
555,330012233612,2116,2023-01-25,1230060,38.4
