Артикул продукции,Продукция,Артикул материала,Материал,Цех_511,Цех_522,Цех_533,Цех_544,Цех_555
441,1738,61,142.0,False,False,False,True,False
248,2353,169,59.0,False,False,False,True,False
410,199,61,142.0,False,False,False,True,False
85,372,113,50.0,True,False,False,False,False
42,1504,113,50.0,True,False,False,False,False
368,1641,113,50.0,True,False,False,False,False
266,2145,113,50.0,True,False,False,False,False
114,589,113,50.0,True,False,False,False,False
154,1464,113,50.0,True,False,False,False,False
135,1409,113,50.0,True,False,False,False,False
179,1189,141,52.0,True,False,False,False,False
84,753,141,52.0,True,False,False,False,False
246,282,141,52.0,True,False,False,False,False
47,847,141,52.0,True,False,False,False,False
228,758,141,52.0,True,False,False,False,False
375,297,141,52.0,True,False,False,False,False
2,377,227,87.0,False,False,False,False,True
79,296,94,33.0,False,False,False,True,False
151,1035,94,33.0,False,False,False,True,False
322,1744,94,33.0,False,False,False,True,False
291,661,94,33.0,False,False,False,True,False
253,1144,11,4.0,False,False,True,False,False
97,967,227,87.0,False,False,False,False,True
80,1413,94,33.0,False,False,False,True,False
86,594,94,33.0,False,False,False,True,False
204,926,227,87.0,False,False,False,False,True
54,163,227,87.0,False,False,False,False,True
29,129,11,4.0,False,False,True,False,False
319,1907,227,87.0,False,False,False,False,True
144,303,227,87.0,False,False,False,False,True
97,895,11,4.0,False,False,True,False,False
127,289,94,33.0,False,False,False,True,False
178,1104,227,87.0,False,False,False,False,True
325,1584,227,87.0,False,False,False,False,True
356,666,11,4.0,False,False,True,False,False
74,1450,94,33.0,False,False,False,True,False
323,790,11,4.0,False,False,True,False,False
62,1125,11,4.0,False,False,True,False,False
214,1252,94,33.0,False,False,False,True,False
353,801,94,33.0,False,False,False,True,False
268,2772,227,87.0,False,False,False,False,True
171,395,214,6.0,False,False,True,False,False
118,2020,214,6.0,False,False,True,False,False
157,446,214,6.0,False,False,True,False,False
233,160,214,6.0,False,False,True,False,False
168,253,214,6.0,False,False,True,False,False
159,887,214,6.0,False,False,True,False,False
162,1179,214,6.0,False,False,True,False,False
24,593,214,6.0,False,False,True,False,False
88,102,214,6.0,False,False,True,False,False
175,137,214,6.0,False,False,True,False,False
153,939,214,6.0,False,False,True,False,False
112,1059,14,30.0,False,False,True,False,False
90,996,55,51.0,False,False,False,True,False
35,158,55,51.0,False,False,False,True,False
101,213,14,30.0,False,False,True,False,False
46,667,55,51.0,False,False,False,True,False
189,1118,55,51.0,False,False,False,True,False
103,193,14,30.0,False,False,True,False,False
152,312,55,51.0,False,False,False,True,False
134,508,55,51.0,False,False,False,True,False
200,750,14,30.0,False,False,True,False,False
70,894,55,51.0,False,False,False,True,False
43,818,55,51.0,False,False,False,True,False
111,250,55,51.0,False,False,False,True,False
22,127,48,285.0,True,False,False,False,False
82,1773,48,285.0,True,False,False,False,False
129,611,48,285.0,True,False,False,False,False
136,955,48,285.0,True,False,False,False,False
35,662,164,20.5,True,False,False,False,False
35,662,70,51.0,True,False,False,False,False
25,1089,70,51.0,True,False,False,False,False
78,524,164,20.5,True,False,False,False,False
78,524,70,51.0,True,False,False,False,False
81,213,164,20.5,True,False,False,False,False
81,213,70,51.0,True,False,False,False,False
69,1417,164,20.5,True,False,False,False,False
25,1089,164,20.5,True,False,False,False,False
68,1402,164,20.5,True,False,False,False,False
68,1402,70,51.0,True,False,False,False,False
44,1670,164,20.5,True,False,False,False,False
44,1670,70,51.0,True,False,False,False,False
74,2825,164,20.5,True,False,False,False,False
74,2825,70,51.0,True,False,False,False,False
95,979,164,20.5,True,False,False,False,False
95,979,70,51.0,True,False,False,False,False
69,1417,70,51.0,True,False,False,False,False
56,529,232,42.0,False,False,False,True,False
21,2098,201,96.0,False,True,False,False,False
65,462,232,42.0,False,False,False,True,False
27,1011,232,42.0,False,False,False,True,False
9,600,232,42.0,False,False,False,True,False
